lemma,lynkr
récolter,teohreylas
réconforter,ryekohntas
reconnaitre,erkahfryas
reculer,pahrkevtohm
réfléchir,yhnteas
regarder,kryhjras
rejoindre,remkohtas
remplacer,rem-mekhyras
rencontrer,yrmteklas
rendre,bahkyas
répandre,erpendhas
repentir,escruptiräas
répondre,remrhoas
reposer,sohmelas
résister,eryluas
résonner,ryjtrahnas
respecter,krilpitas
respirer,cykaehlas
ressentir,ehlsyntas
rester,er-strayas
retenir,rekemeras
retourner,rem-thyras
retrouver,rem-tliedas
réunir,ryphreas
réussir,erehlahars
révéler,remlayhsas
revenir,remvranas
rêver,lyaras
revivre,rem-virvilem
revoir,ravryas
rire,eras
rôder,rohrkas
rompre,rhuptras
rouler,rohltas
ruisseler,flyehtas
sacrer,syhntas
sacrifier,samrkräas
saigner,samrkas
sauver,sahlvias
savoir,eelas
sculpter,klyhrtas
sembler,symelbas
semer,saehmas
sentir,syntas
séparer,klohas
servir,sarkas
sidérer,sehraahnvryas
signifier,syehnftas
situer,stuehnas
songer,fynas
sonner,sanhgreas
sortir,uskelptas
soucier,salkçyas
souffler,vhyntas
souffrir,seriläas
souhaiter,soehleas
soumettre,sarkrehlyas
sourire,suheras
souvenir,narjas
structurer,klyoras
suivre,sarhklyas
surprendre,fraahnvryas
surveiller,suuhryvas
survivre,suehrvirvhas
suspecter,fraabidas
suspendre,slehtras
témoigner,vryalhtas
tendre,tehnsar
tenir,kemeras
terminer,fanaras
tirer,firas
torturer,salhvryktas
toucher,taehlmas
tourner,thyras
transformer,tryhrfreharmas
transmettre,tramyrrhas
travailler,lahbtyas
troquer,torthas
trouver,tieldas
tuer,hekemeras
utiliser,uyzhas
valoir,vahlryas
vendre,vlenelas
venger,rehylkas
venir,vraneras
vibrer,vrohmtas
virer,vlyhras
visiter,vyhstas
voir,vryas
vouloir,vollas
voyager,vaemas
